ID,"('TotalGreen_potential', 'MWh')","('X', 'km')","('Y', 'km')","('Biomass_potential', 'MWh')","('hydrogen_demand', 'MWh')"
RS22,16180,1544.095385,4906.956985,21894439.31,0
SE11,28480,996.2756506,6611.863766,16171146.06,131.8125
SE12,56980,905.5703953,6587.056754,39845571.1,0
SE21,39710,861.6005462,6357.046631,20645725.11,0
SE22,39910,782.7316569,6205.466021,47967384.08,104.0625
SE23,63590,728.0847331,6447.608842,33767978,1665
SE31,33410,802.2116252,6747.367883,7521608.663,0
SE32,108240,810.2050057,7024.490825,2421994.728,159.5625
SE33,194350,960.9570498,7384.807321,3440295.718,0
SI03,8340,984.3658977,5132.377871,17395489.03,6.9375
SI04,3200,903.2704379,5124.340086,7138770.653,0
SK01,3610,1104.980316,5381.889848,7827131.67,999
SK03,11230,1260.626668,5456.808289,13885283,0
SK04,10920,1396.203209,5494.080876,14591215.83,0
SKO2,44100,1170.927059,5401.265648,0,2095.125
UK13,7740,-135.2141296,5748.426193,0,0
UKC1,21320,-188.7838062,6110.617967,18772912.45,13.875
UKC2,25420,-198.3282645,6174.769961,22809098.18,27.75
UKD1,16670,-265.208,6114.996,23652919.91,4488.5625
UKD3,19860,-246.6043963,5988.656895,20957424.81,62.4375
UKD4,13900,-259.6951721,6029.026754,22208338.69,13.875
UKD6,10070,-267.4294448,5957.282119,16857995.96,0
UKD7,13500,-284.14935,5983.513881,11288693.09,0
UKE1,18370,-124.8060316,6014.008254,28766359.02,0
UKE2,21160,-178.5420358,6054.014473,49142572.14,0
UKE3,11420,-185.7579095,5972.802019,13783853.08,0
UKE4,17350,-205.0386909,6006.662004,20600067.78,1200.1875
UKF1,21790,-196.0394083,5930.868633,34760042.74,0
UKF2,23650,-174.7850875,5863.520811,37989568.28,0
UKF3,28750,-119.7568869,5923.098965,49482408.63,1588.6875
UKG1,21540,-261.8516794,5843.615735,41259610.79,0
UKG2,23780,-268.804901,5904.243639,39456106.67,0
UKG3,21200,-241.0986212,5872.913851,20448823.51,0
UKH1,58410,-62.30849589,5843.432536,100985605,0
UKH2,17180,-140.3003419,5795.393121,22872551.01,0
UKH3,18700,-86.94410025,5773.088568,27381625.87,13.875
UKI4,15300,-130.3635593,5752.605717,15866425.22,0
UKI6,9080,-131.4557397,5731.024412,8953708.908,0
UKIS,12950,-110.1989985,5749.141776,0,0
UKIZ,14470,-146.6665544,5751.219799,0,0
UKJ1,26750,-196.7125981,5777.593957,45879329.06,0
UKJ2,27160,-145.7919789,5697.009454,27585911.78,0
UKJ3,20970,-218.7970705,5708.935377,27141860.81,0
UKJ4,18610,-81.37266544,5707.131073,20349646.86,0
UKK1,29440,-269.5851137,5769.23026,44621438.65,0
UKK2,22150,-318.037137,5714.500157,31655071.73,1484.625
UKK3,10900,-476.4034416,5678.858278,15710215.35,0
UKK4,26920,-401.5796779,5700.03237,30092124.92,0
UKL1,66750,-395.4252022,5848.825143,41355273.54,27.75
UKL2,38340,-337.612396,5864.890639,28181540.23,2317.125
UKM5,34600,-204.0944242,6400.586169,22114987.47,0
UKM6,182110,-324.4199779,6426.072408,15934334.49,0
UKM7,105520,-309.7978801,6333.601788,47273450.46,1519.3125
UKM8,34000,-348.3921594,6274.243189,11240480.73,13.875
UKM9,37320,-302.484804,6208.543631,37442141.7,0
UKNO,59440,-504.4338331,6166.533942,0,0
