carrier,node,time_operation,carbon_emissions_carrier
nitrogen,CZ01,4,0.0
nitrogen,CZ01,5,0.0
nitrogen,CZ01,6,0.0
nitrogen,CZ01,7,0.0
nitrogen,CZ01,8,0.0
nitrogen,CZ01,9,0.0
nitrogen,CZ01,10,0.0
nitrogen,CZ01,11,0.0
nitrogen,CZ01,12,0.0
nitrogen,CZ01,13,0.0
nitrogen,CZ02,0,0.0
nitrogen,CZ02,1,0.0
nitrogen,CZ02,2,0.0
nitrogen,CZ02,3,0.0
nitrogen,CZ02,4,0.0
nitrogen,CZ02,5,0.0
nitrogen,CZ02,6,0.0
nitrogen,CZ02,7,0.0
nitrogen,CZ02,8,0.0
nitrogen,CZ02,9,0.0
nitrogen,CZ02,10,0.0
nitrogen,CZ02,11,0.0
nitrogen,CZ02,12,0.0
nitrogen,CZ02,13,0.0
nitrogen,CZ03,0,0.0
nitrogen,CZ03,1,0.0
nitrogen,CZ03,2,0.0
nitrogen,CZ03,3,0.0
nitrogen,CZ03,4,0.0
nitrogen,CZ03,5,0.0
nitrogen,CZ03,6,0.0
nitrogen,CZ03,7,0.0
nitrogen,CZ03,8,0.0
nitrogen,CZ03,9,0.0
nitrogen,CZ03,10,0.0
nitrogen,CZ03,11,0.0
nitrogen,CZ03,12,0.0
nitrogen,CZ03,13,0.0
nitrogen,CZ04,0,0.0
nitrogen,CZ04,1,0.0
nitrogen,CZ04,2,0.0
nitrogen,CZ04,3,0.0
nitrogen,CZ04,4,0.0
nitrogen,CZ04,5,0.0
nitrogen,CZ04,6,0.0
nitrogen,CZ04,7,0.0
nitrogen,CZ04,8,0.0
nitrogen,CZ04,9,0.0
nitrogen,CZ04,10,0.0
nitrogen,CZ04,11,0.0
nitrogen,CZ04,12,0.0
nitrogen,CZ04,13,0.0
nitrogen,CZ05,0,0.0
nitrogen,CZ05,1,0.0
nitrogen,CZ05,2,0.0
nitrogen,CZ05,3,0.0
nitrogen,CZ05,4,0.0
nitrogen,CZ05,5,0.0
nitrogen,CZ05,6,0.0
nitrogen,CZ05,7,0.0
nitrogen,CZ05,8,0.0
nitrogen,CZ05,9,0.0
nitrogen,CZ05,10,0.0
nitrogen,CZ05,11,0.0
nitrogen,CZ05,12,0.0
nitrogen,CZ05,13,0.0
nitrogen,CZ06,0,0.0
nitrogen,CZ06,1,0.0
nitrogen,CZ06,2,0.0
nitrogen,CZ06,3,0.0
nitrogen,CZ06,4,0.0
nitrogen,CZ06,5,0.0
nitrogen,CZ06,6,0.0
nitrogen,CZ06,7,0.0
nitrogen,CZ06,8,0.0
nitrogen,CZ06,9,0.0
nitrogen,CZ06,10,0.0
nitrogen,CZ06,11,0.0
nitrogen,CZ06,12,0.0
nitrogen,CZ06,13,0.0
nitrogen,CZ07,0,0.0
nitrogen,CZ07,1,0.0
nitrogen,CZ07,2,0.0
nitrogen,CZ07,3,0.0
nitrogen,CZ07,4,0.0
nitrogen,CZ07,5,0.0
nitrogen,CZ07,6,0.0
nitrogen,CZ07,7,0.0
nitrogen,CZ07,8,0.0
nitrogen,CZ07,9,0.0
nitrogen,CZ07,10,0.0
nitrogen,CZ07,11,0.0
nitrogen,CZ07,12,0.0
nitrogen,CZ07,13,0.0
nitrogen,CZ08,0,0.0
nitrogen,CZ08,1,0.0
nitrogen,CZ08,2,0.0
nitrogen,CZ08,3,0.0
nitrogen,CZ08,4,0.0
nitrogen,CZ08,5,0.0
nitrogen,CZ08,6,0.0
nitrogen,CZ08,7,0.0
nitrogen,CZ08,8,0.0
nitrogen,CZ08,9,0.0
nitrogen,CZ08,10,0.0
nitrogen,CZ08,11,0.0
nitrogen,CZ08,12,0.0
nitrogen,CZ08,13,0.0
nitrogen,DE11,0,0.0
nitrogen,DE11,1,0.0
nitrogen,DE11,2,0.0
nitrogen,DE11,3,0.0
nitrogen,DE11,4,0.0
nitrogen,DE11,5,0.0
nitrogen,DE11,6,0.0
nitrogen,DE11,7,0.0
nitrogen,DE11,8,0.0
nitrogen,DE11,9,0.0
nitrogen,DE11,10,0.0
nitrogen,DE11,11,0.0
nitrogen,DE11,12,0.0
nitrogen,DE11,13,0.0
nitrogen,DE12,0,0.0
nitrogen,DE12,1,0.0
nitrogen,DE12,2,0.0
nitrogen,DE12,3,0.0
nitrogen,DE12,4,0.0
nitrogen,DE12,5,0.0
nitrogen,DE12,6,0.0
nitrogen,DE12,7,0.0
nitrogen,DE12,8,0.0
nitrogen,DE12,9,0.0
nitrogen,DE12,10,0.0
nitrogen,DE12,11,0.0
nitrogen,DE12,12,0.0
nitrogen,DE12,13,0.0
nitrogen,DE13,0,0.0
nitrogen,DE13,1,0.0
nitrogen,DE13,2,0.0
nitrogen,DE13,3,0.0
nitrogen,DE13,4,0.0
nitrogen,DE13,5,0.0
nitrogen,DE13,6,0.0
nitrogen,DE13,7,0.0
nitrogen,DE13,8,0.0
nitrogen,DE13,9,0.0
nitrogen,DE13,10,0.0
nitrogen,DE13,11,0.0
nitrogen,DE13,12,0.0
nitrogen,DE13,13,0.0
nitrogen,DE14,0,0.0
nitrogen,DE14,1,0.0
nitrogen,DE14,2,0.0
nitrogen,DE14,3,0.0
nitrogen,DE14,4,0.0
nitrogen,DE14,5,0.0
nitrogen,DE14,6,0.0
nitrogen,DE14,7,0.0
nitrogen,DE14,8,0.0
nitrogen,DE14,9,0.0
nitrogen,DE14,10,0.0
nitrogen,DE14,11,0.0
nitrogen,DE14,12,0.0
nitrogen,DE14,13,0.0
nitrogen,DE21,0,0.0
nitrogen,DE21,1,0.0
nitrogen,DE21,2,0.0
nitrogen,DE21,3,0.0
nitrogen,DE21,4,0.0
nitrogen,DE21,5,0.0
nitrogen,DE21,6,0.0
nitrogen,DE21,7,0.0
nitrogen,DE21,8,0.0
nitrogen,DE21,9,0.0
nitrogen,DE21,10,0.0
nitrogen,DE21,11,0.0
nitrogen,DE21,12,0.0
nitrogen,DE21,13,0.0
nitrogen,DE22,0,0.0
nitrogen,DE22,1,0.0
nitrogen,DE22,2,0.0
nitrogen,DE22,3,0.0
nitrogen,DE22,4,0.0
nitrogen,DE22,5,0.0
nitrogen,DE22,6,0.0
nitrogen,DE22,7,0.0
nitrogen,DE22,8,0.0
nitrogen,DE22,9,0.0
nitrogen,DE22,10,0.0
nitrogen,DE22,11,0.0
nitrogen,DE22,12,0.0
nitrogen,DE22,13,0.0
nitrogen,DE23,0,0.0
nitrogen,DE23,1,0.0
nitrogen,DE23,2,0.0
nitrogen,DE23,3,0.0
nitrogen,DE23,4,0.0
nitrogen,DE23,5,0.0
nitrogen,DE23,6,0.0
nitrogen,DE23,7,0.0
nitrogen,DE23,8,0.0
nitrogen,DE23,9,0.0
nitrogen,DE23,10,0.0
nitrogen,DE23,11,0.0
nitrogen,DE23,12,0.0
nitrogen,DE23,13,0.0
nitrogen,DE24,0,0.0
nitrogen,DE24,1,0.0
nitrogen,DE24,2,0.0
nitrogen,DE24,3,0.0
nitrogen,DE24,4,0.0
nitrogen,DE24,5,0.0
nitrogen,DE24,6,0.0
nitrogen,DE24,7,0.0
nitrogen,DE24,8,0.0
nitrogen,DE24,9,0.0
nitrogen,DE24,10,0.0
nitrogen,DE24,11,0.0
nitrogen,DE24,12,0.0
nitrogen,DE24,13,0.0
nitrogen,DE25,0,0.0
nitrogen,DE25,1,0.0
nitrogen,DE25,2,0.0
nitrogen,DE25,3,0.0
nitrogen,DE25,4,0.0
nitrogen,DE25,5,0.0
nitrogen,DE25,6,0.0
nitrogen,DE25,7,0.0
nitrogen,DE25,8,0.0
nitrogen,DE25,9,0.0
nitrogen,DE25,10,0.0
nitrogen,DE25,11,0.0
nitrogen,DE25,12,0.0
nitrogen,DE25,13,0.0
nitrogen,DE26,0,0.0
nitrogen,DE26,1,0.0
nitrogen,DE26,2,0.0
nitrogen,DE26,3,0.0
nitrogen,DE26,4,0.0
nitrogen,DE26,5,0.0
nitrogen,DE26,6,0.0
nitrogen,DE26,7,0.0
nitrogen,DE26,8,0.0
