scenario,time,node,availability
a,0,DEEO,100000.0
a,0,DEFO,100000.0
a,0,DEGO,100000.0
a,0,DK01,100000.0
a,0,DK02,100000.0
a,0,DK03,100000.0
a,0,DK04,100000.0
a,0,DK05,100000.0
a,0,EE00,100000.0
a,0,EL30,100000.0
a,0,EL41,100000.0
a,0,EL42,100000.0
a,0,EL43,100000.0
a,0,EL51,100000.0
a,0,EL52,100000.0
a,0,EL53,100000.0
a,0,EL54,100000.0
a,0,EL61,100000.0
a,0,EL62,100000.0
a,0,EL63,100000.0
a,0,EL64,100000.0
a,0,EL65,100000.0
a,0,ES11,100000.0
a,0,ES12,100000.0
a,0,ES13,100000.0
a,0,ES21,100000.0
a,0,ES22,100000.0
a,0,ES23,100000.0
a,0,ES24,100000.0
a,0,ES30,100000.0
a,0,ES41,100000.0
a,0,ES42,100000.0
a,0,ES43,100000.0
a,0,ES51,100000.0
a,0,ES52,100000.0
a,0,ES53,100000.0
a,0,ES61,100000.0
a,0,ES62,100000.0
a,0,ES63,100000.0
a,0,ES64,100000.0
a,0,ES70,100000.0
a,0,F119,100000.0
a,0,FI1B,100000.0
a,0,FI1C,100000.0
a,0,FI1D,100000.0
a,0,FI20,100000.0
a,0,FR10,100000.0
a,0,FRBO,100000.0
a,0,FRC1,100000.0
a,0,FRC2,100000.0
a,0,FRD1,100000.0
a,0,FRD2,100000.0
a,0,FRE1,100000.0
a,0,FRE2,100000.0
a,0,FRF1,100000.0
a,0,FRF2,100000.0
a,0,FRF3,100000.0
a,0,FRGO,100000.0
a,0,FRHO,100000.0
a,0,FRI1,100000.0
a,0,FRI2,100000.0
a,0,FRI3,100000.0
a,0,FRJ1,100000.0
a,0,FRJ2,100000.0
a,0,FRK1,100000.0
a,0,FRK2,100000.0
a,0,FRLO,100000.0
a,0,FRMO,100000.0
a,0,FRY1,100000.0
a,0,FRY2,100000.0
a,0,FRY3,100000.0
a,0,FRY4,100000.0
a,0,FRY5,100000.0
a,0,HR04,100000.0
a,0,HRO3,100000.0
a,0,HU11,100000.0
a,0,HU12,100000.0
a,0,HU21,100000.0
a,0,HU22,100000.0
a,0,HU23,100000.0
a,0,HU31,100000.0
a,0,HU32,100000.0
a,0,HU33,100000.0
a,0,IE04,100000.0
a,0,IE05,100000.0
a,0,IE06,100000.0
a,0,ISOO,100000.0
a,0,IT13,100000.0
a,0,IT14,100000.0
a,0,ITC1,100000.0
a,0,ITC2,100000.0
a,0,ITC3,100000.0
a,0,ITC4,100000.0
a,0,ITF1,100000.0
a,0,ITF2,100000.0
a,0,ITF3,100000.0
a,0,ITF4,100000.0
a,0,ITF5,100000.0
a,0,ITF6,100000.0
a,0,ITG1,100000.0
a,0,ITG2,100000.0
a,0,ITH1,100000.0
a,0,ITH2,100000.0
a,0,ITH3,100000.0
a,0,ITH4,100000.0
a,0,ITH5,100000.0
a,0,ITI1,100000.0
a,0,ITI2,100000.0
a,0,LIOO,100000.0
a,0,LT01,100000.0
a,0,LTO2,100000.0
a,0,LUOO,100000.0
a,0,LVOO,100000.0
a,0,ME00,100000.0
a,0,MKOO,100000.0
a,0,MTOO,100000.0
a,0,NL11,100000.0
a,0,NL12,100000.0
a,0,NL13,100000.0
a,0,NL21,100000.0
a,0,NL22,100000.0
a,0,NL23,100000.0
a,0,NL31,100000.0
a,0,NL32,100000.0
a,0,NL33,100000.0
a,0,NL34,100000.0
a,0,NL41,100000.0
a,0,NL42,100000.0
a,0,NO01,100000.0
a,0,NO03,100000.0
a,0,NO04,100000.0
a,0,NO05,100000.0
a,0,NO06,100000.0
a,0,NO07,100000.0
a,0,NOO2,100000.0
a,0,PL21,100000.0
a,0,PL22,100000.0
a,0,PL41,100000.0
a,0,PL42,100000.0
a,0,PL43,100000.0
a,0,PL51,100000.0
a,0,PL52,100000.0
a,0,PL61,100000.0
a,0,PL62,100000.0
a,0,PL63,100000.0
a,0,PL71,100000.0
a,0,PL72,100000.0
a,0,PL81,100000.0
a,0,PL82,100000.0
a,0,PL84,100000.0
a,0,PL91,100000.0
a,0,PL92,100000.0
a,0,PT11,100000.0
a,0,PT15,100000.0
a,0,PT16,100000.0
a,0,PT17,100000.0
a,0,PT18,100000.0
a,0,PT20,100000.0
a,0,PT30,100000.0
a,0,R042,100000.0
a,0,RO11,100000.0
a,0,RO12,100000.0
a,0,RO21,100000.0
a,0,RO22,100000.0
a,0,RO31,100000.0
a,0,RO32,100000.0
a,0,RO41,100000.0
a,0,RS11,100000.0
a,0,RS12,100000.0
a,0,RS21,100000.0
a,0,RS22,100000.0
a,0,SE11,100000.0
a,0,SE12,100000.0
a,0,SE21,100000.0
a,0,SE22,100000.0
a,0,SE23,100000.0
a,0,SE31,100000.0
a,0,SE32,100000.0
a,0,SE33,100000.0
a,0,SI03,100000.0
a,0,SI04,100000.0
a,0,SK01,100000.0
a,0,SK03,100000.0
a,0,SK04,100000.0
a,0,SKO2,100000.0
a,0,UK13,100000.0
a,0,UKC1,100000.0
a,0,UKC2,100000.0
a,0,UKD1,100000.0
a,0,UKD3,100000.0
a,0,UKD4,100000.0
a,0,UKD6,100000.0
a,0,UKD7,100000.0
a,0,UKE1,100000.0
a,0,UKE2,100000.0
a,0,UKE3,100000.0
a,0,UKE4,100000.0
a,0,UKF1,100000.0
a,0,UKF2,100000.0
a,0,UKF3,100000.0
a,0,UKG1,100000.0
a,0,UKG2,100000.0
a,0,UKG3,100000.0
a,0,UKH1,100000.0
a,0,UKH2,100000.0
a,0,UKH3,100000.0
a,0,UKI4,100000.0
a,0,UKI6,100000.0
a,0,UKIS,100000.0
a,0,UKIZ,100000.0
a,0,UKJ1,100000.0
a,0,UKJ2,100000.0
a,0,UKJ3,100000.0
a,0,UKJ4,100000.0
a,0,UKK1,100000.0
a,0,UKK2,100000.0
a,0,UKK3,100000.0
a,0,UKK4,100000.0
a,0,UKL1,100000.0
a,0,UKL2,100000.0
a,0,UKM5,100000.0
a,0,UKM6,100000.0
a,0,UKM7,100000.0
a,0,UKM8,100000.0
a,0,UKM9,100000.0
a,0,UKNO,100000.0
