country;company;refinery;capacity_b_d;owner_plant_details;location;pipeline;secondary_pipeline;operator;oil_type_concawe;sources;country_code;eprtr_site_name;eprtr_facility_name;ets_name;eigl_text_lon;eigl_text_lat;x;y
Germany;PCK Raffinerie GmbH (Shell, Rosneft, Eni);Schwedt;230000;Operating normally;Schwedt;Druzhba pipeline;;Transneft Druzhba;;"https://de.statista.com/infografik/26916/kapazitaet-der-groessten-gas-pipelines-zwischen-russland-und-europa/; https://www.gem.wiki/Druzhba_Oil_Pipeline; https://www.cnbc.com/2019/04/25/russia-oil-germany-and-poland-suspend-imports-via-russian-pipeline.html; https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/06/The-Druzhba-Pipeline-Crisis-The-Lessons-for-Russia-and-for-Europe.pdf";DE;PCK Raffinerie GmbH Schwedt;PCK Raffinerie GmbH Schwedt;PCK Raffinerie Glocke Schwedt;14.23812153;53.08758529000001;;
Germany;Shell Energy and Chemicals Park Rheinland Nord;Shell AG;325000;;Wesseling (Cologne);North-West Oil Pipeline Network (NWO);;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;DE;;;;7.007578421;50.814492999999985;;
Germany;HES International;Wilhelmshafener Raffineriegesellschaft mbH;260000;;Wilhelmshafen;North-West Oil Pipeline Network (NWO);;;;"https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/; https://www.hesinternational.eu/en/terminals/hes-wilhelmshaven";DE;;;;8.111678521;53.615453439999996;;
Greece;Hellenic Petroleum;Aspropyrgos;148000;Does not depend on Russian crude;Aspropyrgos;Others;;;;;EL;HELLENIC PETROLEUM S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS;HELLENIC PETROLEUM S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS;HELLENIC PETROLEUM S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS;23.602759999999996;38.03236;;
Greece;Hellenic Petroleum;Echedoros;66500;;Echedoros;Others;�;�;�;�;EL;�;�;�;22.88384;40.683789999999995;;
Greece;Hellenic Petroleum;Eleusis (or Elefsina);100000;Does not depend on Russian crude;Eleusis (or Elefsina);Others;;;;;EL;HELLENIC PETROLEUM S.A. �SOUTH REFINERIES COMPLEX � ELEFSIS INDUSTRIAL FACILITIES;HELLENIC PETROLEUM S.A. �SOUTH REFINERIES COMPLEX � ELEFSIS INDUSTRIAL FACILITIES;HELLENIC PETROLEUM S.A. �SOUTH REFINERIES COMPLEX � ELEFSIS INDUSTRIAL FACILITIES;23.51083;38.04222000000001;;
Greece;Motor Oil (Hellas) Corinth Refinieries SA;Soussaki, Ag. Theodori;110000;;Soussaki, Ag. Theodori;Others;;;;;EL;;;;23.07326;37.92151;;
Greece;Hellenic Petroleum;Thessaloniki;95000;Does not depend on Russian crude;Thessaloniki;Others;;;;;EL;HELLENIC PETROLEUM S.A. - THESSALONIKI INDUSTRIAL COMPLEX;HELLENIC PETROLEUM S.A. - THESSALONIKI INDUSTRIAL COMPLEX;HELLENIC PETROLEUM S.A. - THESSALONIKI INDUSTRIAL COMPLEX;22.87819;40.67951999999999;;
Hungary;MOL Hungarian Oil & Gas Co.;Duna Raffinerie;165000;Operating normally. Able to source crude via Adriatic pipeline;Gdańsk;Druzhba pipeline;Adria Oil Pipeline;;1;"https://www.bbc.com/news/58888451; https://www.cnbc.com/2019/04/25/russia-oil-germany-and-poland-suspend-imports-via-russian-pipeline.html; https://en.wikipedia.org/wiki/Adria_oil_pipeline; https://www.gem.wiki/Adria_Oil_Pipeline; https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/06/The-Druzhba-Pipeline-Crisis-The-Lessons-for-Russia-and-for-Europe.pdf";HU;MOL Magyar Olaj- �s G�zipari Nyrt. Sz�zhalombatta Dunai Finom�t�;MOL Magyar Olaj- �s G�zipari Nyrt.;MOL Nyrt. Dunai Finom�t�;18.896743;47.288829;;
Israel;Bazan;Haifa;197000;No impact on the company;Haifa;Others;;;;;IL;;;;35.05219462;32.79325579;;
Italy;Lukoil;ISAB SRL;321000;Refinery operating as usual;Priolo Gargallo;Others;;;;;IT;ISAB S.r.l;ISAB S.r.l;RAFFINERIA ISAB IMPIANTI NORD;15.2022;37.1291;;
Italy;Eni SPA;Livorno;84000;Not buying Russian crude or products;Livorno;Others;;;;;IT;Eni S.p.A.;Eni S.p.A.;Raffineria di Livorno;10.3365;43.587199999999996;;
Italy;Eni;Sannazzaro de Burgondi;190000;Not buying Russian crude or products;Sannazzaro de Burgondi;Others;;;;;IT;Eni S.p.A.;Eni S.p.A.;RAFFINERIA DI SANNAZZARO;8.8768;45.09969999999999;;
Italy;Saras;Sarroch;300000;Not buying Russian crude;Sarroch;Others;;;;;IT;;;;9.015539422;39.08482046999999;;
Italy;Eni SPA;Taranto;120000;Not buying Russian crude or products;Taranto;Others;;;;;IT;Eni S.p.A.;Eni S.p.A.;Raffineria di Taranto;17.193;40.489200000000004;;
Netherlands;Shell;Pernis;404000;Stopped all spot Russian crude oil and product purchases;Pernis;Others;;;;;NL;Shell Nederland Raffinaderij BV;Shell Nederland Raffinaderij BV;Shell Nederland Raffinaderij B.V.;4.335329999999999;51.880129999999994;;
Netherlands;BP PLC;Rotterdam;377000;Stopped all spot Russian crude oil and product purchases;Rotterdam;Others;;;;;NL;BP Rotterdam Refinery;BP Rotterdam Refinery;BP Raffinaderij Rotterdam B.V.;4.107789999999999;51.94499;;
Netherlands;Total/Lukoil;Zeeland Refinery;235041;In an advanced refining process, we extract the fuels LPG, petrol, kerosene, diesel and fuel oil (for shipping) from the crude oil. In addition, we make solvents and raw materials for making plastics in smaller quantities.;Zeeland;Yes, special pipeline from Maasvlakte;;;;;NL;Zeeland Refinery N.V.;Zeeland Refinery N.V.;Zeeland Refinery N.V.;3.7266110000000006;51.44916;;
Norway;ExxonMobil Corp.;ExxonMobil Refining & Supply Co.;122630;;Slagentangen;No;�;�;�;;NO;;;;10.51395;59.31759;;
Norway;Equinor;Mongstad Refining;190000;Stopped buying or transporting Russian crude;Mongstad;Others;;;;;NO;;;;5.030783659;60.809433580000004;;
Poland;Grupa LOTOS;Gdansk;120000;;Gdańsk;Druzhba pipeline;;Transneft Druzhba;;"https://www.lotos.pl/en/1031/p,0,n,3985/0/lotos_among_top_refineries; https://www.bbc.com/news/58888451; https://www.cnbc.com/2019/04/25/russia-oil-germany-and-poland-suspend-imports-via-russian-pipeline.html; https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/06/The-Druzhba-Pipeline-Crisis-The-Lessons-for-Russia-and-for-Europe.pdf";PL;Site nr 23;Grupa LOTOS S.A.;NSTALACJE RAFINERYJNE;18.72977164;54.34681483;;
Poland;PKN Orlen;Plock;326000;PKN has already diversified its supplies. Has halved Russian crude purchases;Płock;Druzhba pipeline;;Transneft Druzhba;;"https://www.bbc.com/news/58888451; https://www.cnbc.com/2019/04/25/russia-oil-germany-and-poland-suspend-imports-via-russian-pipeline.html; https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/06/The-Druzhba-Pipeline-Crisis-The-Lessons-for-Russia-and-for-Europe.pdf";PL;Site nr 11;"Basell Orlen Polyolefins"" Sp. z o.o";Olefiny II;19.6740933;52.585548599999996;;
Portugal;Galp Energia;Sines;220000;Suspended all imports of Russian oil products, in particular VGO;Sines;Others;Companhia Logistica de Combustives SA;;2;"https://www.clc.pt/; https://www.concawe.eu/oil-pipeline-map/";PT;S�tio - Refinaria de Sines;CI - Refinaria de Sines;Refinaria de Sines;-8.800138;37.963901;;
