id_eigl;public_data;country;name;location;company;capacity_mwe;start_year;eigl_process;eigl_text_lon;eigl_text_lat;x;y
181;YES;France;GRHYD;Dunkirk;;0;2018;Proton exchange membrane electrolysis;2.3245;51.045199999999994;258762.15630000085;6629292.977300003
182;YES;France;Minatec's semiconductor labs in Grenoble;Grenoble;;13.5;2017;Alkaline electrolysis;5.7087;45.1959;635489.5771000013;5652414.835900001
183;YES;France;FaHyence;Sarreguemines;;0.0128;2017;Alkaline electrolysis;7.088599999999999;49.1073;789099.3423999995;6293087.609499998
184;YES;France;Energy observer;;;0;2017;Proton exchange membrane electrolysis;0;0;0;0
185;YES;France;ElectroHgena;;;0;2016;Proton exchange membrane electrolysis;0;0;0;0
186;YES;France;Port Jerome;49.48239385029256, 0.5410692835862795;Air Liquide;200;2015;Fossil based hydrogen + CCS;0.5410999999999999;49.48239999999999;60234.976500000805;6357114.532300003
187;YES;France;Minerve, Nantes;7 Rue Christian Pauc, 44306 NANTES;;0.12;2014;Solid oxide electrolysis cells;-1.5152000000000003;47.2834;-168671.29239999875;5988455.472499996
188;YES;France;MYRTE;"41° 54' 45.83"""", 8° 39' 13.78""""";;0.11;2012;Proton exchange membrane electrolysis;8.6538;41.9127;963336.6094000004;5147911.284599997
189;YES;France;AltHytude;Dunkirk;;0.08;2009;Alkaline electrolysis;2.3245;51.045199999999994;258762.15630000085;6629292.977300003
190;YES;France;Vendée hydrogène;Bouin;;3.425;2021;Other or unknown;-2.0006;46.97439999999999;-222705.77329999954;5937896.501500003
191;YES;France;NEL-Lhyfe Agreement - Total (from 2021);Nantes;;59.31;2021;Alkaline electrolysis;-1.5152000000000003;47.2834;-168671.29239999875;5988455.472499996
192;YES;France;;Grenoble, 57 Rue Pierre Semard;Air Liquide;0;2016;Other or unknown;5.7093;45.193299999999994;635556.3687999994;5652004.121799998
215;YES;France;PUSHY OSSHY;No record;;0.06;2013;Other or unknown;5.2667;45.05259999999999;586286.3621999994;5629806.084200002
216;YES;France;PUSHY LASHY;No record;;0.065;2015;Other or unknown;1.3878;49.171299999999995;154489.18930000067;6303977.561899997
297;YES;Germany;Heide, Hemmingstedt;Heide, Hemmingstedt;Raffinerie Heide GmbH;30;2024;Other or unknown;9.075;54.15639999999999;1010224.378899999;7199832.401799999
304;YES;Germany;H2morrow;North Rhine-Westphalia;Equinor, Open Grid Europe, Thyssenkrupp;1000;2030;Fossil based hydrogen + CCS;0;0;0;0
305;YES;Germany;GreenHydroChem Central German Chemical Triangle;Leuna and Bad Lauchstädt;Linde;120;2024;Proton exchange membrane electrolysis;12.005699999999997;51.32880000000001;1336468.4105999991;6679662.019299999
306;YES;Germany;Hybridge;Emsland district;;100;2023;Other or unknown;0;0;0;0
307;YES;Germany;Element One (Element Eins);Diele;;100;2022;Other or unknown;7.3134;53.12039999999999;814123.9640000015;7005299.7883
308;YES;Germany;Bad Lauchstädt energy park;Bad Lauchstädt;;35;2022;Other or unknown;11.8605;51.3848;1320304.8205999993;6689644.733800001
309;YES;Germany;Referenzkraftwerk Lausitz;Lausitz;;10;2022;Proton exchange membrane electrolysis;14.573499999999997;51.41989999999999;1622314.5991000012;6695907.9859
