uid;city;state;country;iso3;country_code;region;sub_region;accuracy;status;plant_type;primary_production_type;primary_product;capacity;capacity_source;year;owner_permid;owner_name;owner_source;parent_permid;parent_name;ownership_stake;parent_lei;parent_holding_status;parent_ticker;parent_exchange;parent_permid_2;parent_name_2;ownership_stake_2;parent_lei_2;parent_holding_status_2;parent_ticker_2;parent_exchange_2;parent_exchange_3;name;permit_id;site_name;facility_name;installation_name;installationpart_name;site_inspire_id;facility_inspire_id;installation_inspire_id;installation_part_inspire_id;eigl_text_lon;eigl_text_lat;x;y
GASTARG0012;Ensenada;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Downstream;Annealing;Finished Products;0;;0;4295856067;Ternium Argentina SA;https://www.ternium.com/en/contact-us#our-offices;5035256873;Techint Holdings SARL;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-57.94109999999999;-34.85459999999999;-6449973.748;-4144139.3783
GASTARG0013;Canning;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Downstream;Galvanizing;Finished Products;0;;0;4295856067;Ternium Argentina SA;https://www.ternium.com/en/contact-us#our-offices;5035256873;Techint Holdings SARL;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-58.5111;-34.8779;-6513425.857799999;-4147300.5967000015
GASTARG0014;Bragado;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Mini-Mill;EAF;Crude Steel;0;;0;4297940701;Acerbrag SA;https://www.acerbrag.com/;5000075361;Votorantim SA;0;5493009RIHSE12DQ0J28;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.449600000000004;-35.14020000000001;-6729218.6907;-4182950.1239
GASTARG0015;Constitución;Santa Fe;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;;;;0;;0;;;;;;0;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.28280000000001;-33.2696;-6710650.5996;-3931143.7729
GASTARG0016;Comuna 4;Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;;;;0;;0;;;;;;0;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-58.3728;-34.6537;-6498030.372199999;-4116919.3753999993
GASTARM0001;Charentsavan;Kotayk Province;Armenia;ARM;51;Asia;Western Asia;Exact;Operating;;;;0;;0;4297828722;ASCE Group Ojsc;http://www.asce.am/;4297828722;ASCE Group Ojsc;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;44.639199999999995;40.4137;4969213.0134;4926243.417800002
GASTAUS0001;Port Kembla;New South Wales;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;Integrated;BF;Crude Steel;2.6;https://www.bluescope.com/about-us/where-we-are/;0;4295858761;BlueScope Steel Ltd;https://www.bluescope.com/about-us/where-we-are/;4295858761;BlueScope Steel Ltd;0;529900H6UQI16XACWC95;Public;BSL;ASX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;150.8853;-34.4626;16796474.764200002;-4091088.3385999985
GASTAUS0002;Hastings;Victoria;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;;;;0;;0;4295858761;BlueScope Steel Ltd;https://www.bluescope.com/about-us/where-we-are/;4295858761;BlueScope Steel Ltd;0;529900H6UQI16XACWC95;Public;BSL;ASX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;145.205;-38.2832;16164146.6606;-4619510.085099999
GASTAUS0003;Acacia Ridge;Queensland;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;;;;0;;0;4295858761;BlueScope Steel Ltd;https://www.bluescope.com/about-us/where-we-are/;4295858761;BlueScope Steel Ltd;0;529900H6UQI16XACWC95;Public;BSL;ASX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;153.032;-27.582700000000003;17035444.3151;-3196462.9538000003
GASTAUS0004;Rooty Hill;New South Wales;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.6;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2015-as.pdf;0;5071167707;Infrabuild Australia Pty Ltd;https://www.infrabuild.com/en-au/branch-locator/branches/infrabuild-steel-rooty-hill/;5057811578;Gfg Alliance Ltd;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;150.8498;-33.766000000000005;16792522.922300003;-3997424.6545
GASTAUS0005;Laverton North;Victoria;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.7;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2015-as.pdf;0;5071167707;Infrabuild Australia Pty Ltd;https://www.infrabuild.com/en-au/branch-locator/branches/infrabuild-steel-laverton/;5057811578;Gfg Alliance Ltd;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;144.7882;-37.8314;16117748.696900003;-4555635.589899998
GASTAUS0006;Whyalla Barson;South Australia;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;Integrated;BF;Crude Steel;1.2;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2015-as.pdf;0;5071167707;Infrabuild Australia Pty Ltd;https://www.libertygfg.com/liberty-primary-steel/;5057811578;Gfg Alliance Ltd;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;137.5878;-33.0094;15316203.8354;-3896551.7227
GASTAUS0007;Mayfield North;New South Wales;Australia;AUS;36;Oceania;Australia and New Zealand;Exact;Operating;;;;0;;0;5071167707;Infrabuild Australia Pty Ltd;https://www.infrabuild.com/en-au/branch-locator/branches/infrabuild-steel-centre-newcastle/;5057811578;Gfg Alliance Ltd;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;151.7446;-32.8879;16892131.6026;-3880433.9985000007
GASTAUT0001;Sankt Barbara im Mürztal;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.3;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-aut.pdf;1942;4297142027;Breitenfeld Edelstahl AG;https://breitenfeld.at/en/how-to-find-us/;4297142027;Breitenfeld Edelstahl AG;0;529900RVRNBYTWP2VG82;Private;;;;;0;;;;;;Breitenfelder Edelstahl Mitterdorf;IES069;Breitenfeld Edelstahl AG;Breitenfeld Edelstahl AG;Schlackendeponie Breitenfeld;0;AT.CAED/9008390116760.SITE;AT.CAED/9008390971567.FACILITY;AT.CAED/9008390976203.INSTALLATION;0;15.500599999999999;47.534499999999994;1725518.8990000002;6029758.680600002
GASTAUT0002;Judenburg;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;5039934273;Stahl Judenburg GmbH;https://www.gmh-gruppe.de/de-en/gmh-gruppe/units.html;4296801706;Georgsmarienhuette Holding GmbH;0;529900K91J8UXZUIX235;Private;;;;;0;;;;;;0;0;Stahl Judenburg GmbH;Stahl Judenburg GmbH;Warmwalzwerk;0;AT.CAED/9008390779071.SITE;AT.CAED/9008390924259.FACILITY;AT.CAED/9008391616870.INSTALLATION;0;14.667900000000001;47.17409999999999;1632823.1590000018;5970538.068000004
GASTAUT0003;Krieglach;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;5057961576;VTK Veredelungstechnik Krieglach GmbH;https://www.gmh-gruppe.de/de-en/gmh-gruppe/units/vtk-krieglach-gmbh.html;4296801706;Georgsmarienhuette Holding GmbH;0;529900K91J8UXZUIX235;Private;;;;;0;;;;;;0;0;VTK Veredelungstechnik Krieglach GmbH;VTK Veredelungstechnik Krieglach GmbH.;Galvanik;0;AT.CAED/9008390408971.SITE;AT.CAED/9008390390399.FACILITY;AT.CAED/9008391027003.INSTALLATION;0;15.5469;47.54789999999997;1730672.9913999997;6031968.382600002
GASTAUT0004;Graz;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;5000898379;Stahl- und Walzwerk Marienhütte GmbH;https://www.marienhuette.at/kontakt;;M + S Maschinen und Stahl Holding GmbH;0;;;;;;;0;;;;;;Stahlwerk Marienhütte GmbH;IES070;Stahl- und Walzwerk Marienhütte GmbH;Stahl- und Walzwerk Marienhütte GesmbH;Stahl- und Walzwerk Marienhütte GesmbH;0;AT.CAED/9008390120903.SITE;AT.CAED/9008390678268.FACILITY;AT.CAED/9008391214403.INSTALLATION;0;15.418399999999998;47.0639;1716368.4367999993;5952510.423100002
GASTAUT0005;Judenburg;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;;;;0;;0;5035951450;Wuppermann Austria GmbH;https://www.wuppermann.com/locations/business-unit-tube/wuppermann-austria-gmbh;4297659527;Wuppermann AG;0;5299008HOSN711H13L26;Private;;;;;0;;;;;;0;0;Wuppermann Austria GmbH;Wuppermann Austria Ges.m.b.H.;Bandverzinkung;0;AT.CAED/9008390480397.SITE;AT.CAED/9008390491140.FACILITY;AT.CAED/9008391290520.INSTALLATION;0;14.656900000000002;47.17359999999999;1631598.6446000002;5970456.188500002
GASTAUT0006;Kapfenberg;Steiermark;Austria;AUT;40;Europe;Western Europe;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.15;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-aut.pdf;0;5061187413;Voestalpine Boehler Edelstahl Co GmbH & KG;https://www.bohler-edelstahl.com/en/voestalpine-boehler-edelstahl/;4295858976;voestalpine AG;0;529900ZAXBMQDIWPNB72;Public;VOE;VIE;;;0;;;;;;Boehler Schmiedetechnik;IES288;Kapfenberg;voestalpine BÖHLER Edelstahl GmbH & Co KG;Reststoffdeponie I;0;AT.CAED/9008390371800.SITE;AT.CAED/9008390966594.FACILITY;AT.CAED/9008390972212.INSTALLATION;0;15.283099999999997;47.444100000000006;1701306.9096999988;6014866.168700002
GASTAUT0007;Linz;Oberösterreich;Austria;AUT;40;Europe;Western Europe;Exact;Operating;Integrated;BF;Crude Steel;6;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-aut.pdf;1938;5035949909;voestalpine Stahl GmbH;https://www.voestalpine.com/search/en/#?category=locations&format=list&ccontinent=europe&ccountry=austria;4295858976;voestalpine AG;0;529900ZAXBMQDIWPNB72;Public;VOE;VIE;;;0;;;;;;Voestalpine Stahl Linz;IVA062;voestalpine Stahl GmbH;voestalpine Stahl GmbH;Beizerei;0;AT.CAED/9008390099636.SITE;AT.CAED/9008390731697.FACILITY;AT.CAED/9008391004837.INSTALLATION;0;14.332800000000002;48.2804;1595519.9976000004;6153630.825400002
