node,demand,capacity_existing,difference
FI1C,0.1551591300702085,0.0890410958904109,0.06611803417979761
FI1C,0.1551591300702085,0.1780821917808219,-0.022923061710613396
FR10,0.0362525156443189,0.228310502283105,-0.1920579866387861
FRB0,0.1016963052209316,0.0867579908675799,0.01493831435335169
FRB0,0.1016963052209316,0.0,0.1016963052209316
FRD1,0.0507067236070533,0.0,0.0507067236070533
FRE1,0.153771337196089,0.1301369863013698,0.023634350894719186
FRE1,0.153771337196089,0.093607305936073,0.06016403126001599
FRE1,0.153771337196089,0.0,0.153771337196089
FRE1,0.153771337196089,0.0,0.153771337196089
FRF1,0.0456009436538387,0.0,0.0456009436538387
FRF2,0.1232570707836213,0.2031963470319634,-0.0799392762483421
FRF3,0.1691947987140776,0.0,0.1691947987140776
FRF3,0.1691947987140776,0.0,0.1691947987140776
FRF3,0.1691947987140776,0.1678082191780821,0.0013865795359954969
FRF3,0.1691947987140776,0.160958904109589,0.00823589460448862
FRG0,0.1583365667169698,0.0,0.1583365667169698
FRG0,0.1583365667169698,0.1324200913242009,0.025916475392768895
FRI1,0.0076407610618594,0.0,0.0076407610618594
FRI1,0.0076407610618594,0.0,0.0076407610618594
FRI3,0.1668237714061949,0.2374429223744292,-0.07061915096823432
FRI3,0.1668237714061949,0.1586757990867579,0.00814797231943698
FRI3,0.1668237714061949,0.1301369863013698,0.03668678510482509
FRJ1,0.1714229545856289,0.1130136986301369,0.058409255955492
FRJ1,0.1714229545856289,0.0764840182648401,0.0949389363207888
FRJ2,0.0807757760962325,0.0,0.0807757760962325
FRK2,0.3152890246609652,0.0,0.3152890246609652
FRK2,0.3152890246609652,0.1073059360730593,0.2079830885879059
FRK2,0.3152890246609652,0.0,0.3152890246609652
FRK2,0.3152890246609652,0.1438356164383561,0.1714534082226091
FRK2,0.3152890246609652,0.1038812785388127,0.21140774612215252
FRK2,0.3152890246609652,0.0,0.3152890246609652
FRK2,0.3152890246609652,0.0,0.3152890246609652
FRK2,0.3152890246609652,0.0,0.3152890246609652
FRL0,0.2017390029443719,0.0,0.2017390029443719
FRL0,0.2017390029443719,0.0,0.2017390029443719
FRL0,0.2017390029443719,0.1278538812785388,0.07388512166583308
FRL0,0.2017390029443719,0.0,0.2017390029443719
FRL0,0.2017390029443719,0.1997716894977169,0.001967313446654989
FRL0,0.2017390029443719,0.0,0.2017390029443719
HR02,0.1067186436126066,0.0125570776255707,0.0941615659870359
HR03,0.2356942128265826,0.1015981735159817,0.13409603931060088
