node,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
ES,1629.0074196592846,1314.5378544766222,2417.393801954907,1200.6229170443153,3316.495777031082,1811.9353491824704,1609.6242147563514,1986.2863746733503,2912.0283063270526,2234.657104204133,0.0,3310.7368534856405,854.3837531045407,1701.2239492794592,1993.4641426441563,1484.9351354604692,1370.4773283513302,2623.9352397536413,1295.2875224242687,2831.563546305292,1922.3175712254208,2130.294852624866,1655.3728153817797,1506.9909011526918,2505.5149468043496,2191.1403211681813,392.3492695558385,2398.1787694183686,2052.412528537331,2579.1507276194625,1622.659032985365,2046.033510265411,1451.9472501086261
FI,2029.9069087820258,1996.2919555636138,2455.28838358552,2245.5323940411095,3412.3205490752184,1774.9537259863982,1762.8301955213944,1326.432393302048,655.8486164794425,2825.913397443382,3310.7368534856405,0.0,2464.985455114289,2403.4121952128803,1989.8888100524605,2316.4307494852937,2572.6434051980464,1038.5441729194768,2029.8018746311175,879.8768564321936,2478.6307854398156,2592.6114037711086,3297.272016424638,1804.1665930742088,927.9415930757708,1442.9213775285887,3559.270584258101,2105.93619458069,2302.455213143786,745.8870288347956,2173.007461999383,1818.521757727688,2034.6439367776363
FR,889.0081930657333,475.5706987367916,1854.735386540355,437.6078141406984,2911.169715932412,1013.6467034830232,760.7569113461934,1148.8126808666414,2058.8834835922603,1813.5769228585261,854.3837531045407,2464.985455114289,0.0,1143.305456943594,1288.929774389978,1061.1976086610825,897.9628033955528,1782.3386803029325,440.95209368479,1985.8113533127964,1395.075046396071,1634.4468488222553,1552.839535826545,671.651431802241,1701.896036302159,1369.1930335003897,1160.8318849876587,1737.465534996306,1455.693609284591,1743.5986287861667,948.3251048295622,1294.5237103189727,814.588829501731
HR,464.50907096955564,1177.214676280414,726.8296382757104,739.7345049745888,1774.6693496403775,672.9552166563536,935.6750419029032,1458.653809135327,1792.83097855654,697.5317785563612,1701.2239492794592,2403.4121952128803,1143.305456943594,0.0,444.3486309217122,2090.0469950632687,337.63651350083575,1403.5616964654594,1037.2323272681003,1611.4278720007915,252.25736521259398,493.4592986599808,894.2565921059796,1245.2920482396892,2021.0199305464555,960.8686116243983,2089.5589971343234,717.3224794309739,352.07402648448806,1887.9947253935854,295.65396154457267,599.3830292934554,1728.4675112249
HU,402.25566184331075,1147.808209611693,680.6580986559992,851.6758876309696,1822.9967228947507,417.8421312373848,790.7880522832903,1208.9625344736698,1363.1393900471076,898.5551480382275,1993.4641426441563,1989.8888100524605,1288.929774389978,444.3486309217122,0.0,2067.911223429333,726.3767278052073,970.3840009980579,1026.42232802877,1173.424559024141,491.71596647861645,651.0726664758708,1324.893128153739,1143.749072823668,1714.0333504445005,556.3051468798391,2366.8851031541435,457.85990393241457,345.8078173740437,1539.6751201899706,371.2634250084435,172.80660231889223,1674.3670262119952
IE,1696.6175085298396,926.3080104009681,2728.815118670556,1359.5208918707356,3850.6203872365813,1669.8859522548241,1288.287939532541,1170.8984440556746,2191.019828962075,2787.0743551913,1484.9351354604692,2316.4307494852937,1061.1976086610825,2090.0469950632687,2067.911223429333,0.0,1916.758716179478,2089.7247200729576,1060.0890322312557,2229.421607219684,2335.7000514802835,2575.89933984793,2613.4834952932074,937.3223883861945,1390.0297286148236,1859.6301062334953,1530.7244629730073,2517.529838648988,2335.633733064326,1598.7917419442097,1826.5187525941258,1994.0646402927869,403.7221317057068
IT,543.0103186128234,1054.587305617226,1047.358752560459,570.5296870356532,2026.6576509918982,797.6924671601207,930.1777213441528,1484.9031252798952,1998.0875433986873,923.6381740622245,1370.4773283513302,2572.6434051980464,897.9628033955528,337.63651350083575,726.3767278052073,1916.758716179478,0.0,1622.7633033692864,915.6536038595599,1837.9724247866181,553.0718530109809,773.1411463199976,790.0114664737466,1170.7073550840967,2075.213160381603,1157.9672858833273,1760.8340458095417,1053.7379853084922,688.78910597802,1986.4768121558834,408.832496717176,848.6877610099014,1589.4640285533362
LT,1101.7831133548923,1392.5078557498337,1424.33963602541,1439.8167743657518,2443.0052872071315,856.8846112108673,1022.9210274918584,922.9818865394922,393.8236235943709,1787.3971987202506,2623.9352397536413,1038.5441729194768,1782.3386803029325,1403.5616964654594,970.3840009980579,2089.7247200729576,1622.7633033692864,0.0,1356.5691909021814,217.265494568282,1450.6256636999765,1554.5958283016842,2294.0060659226683,1249.4402029909231,1088.9538554525627,468.1934970351467,2942.713151854934,1074.5288716847017,1267.782034089456,816.8725191686893,1213.9628129370356,804.9389264099482,1703.8951202797077
LU,639.8870485460697,141.119393564457,1672.1538735517133,350.21749516550386,2790.5413531014015,665.104068838103,337.01999562340524,728.8669080325983,1619.8292416974082,1734.4253627164242,1295.2875224242687,2029.8018746311175,440.95209368479,1037.2323272681003,1026.42232802877,1060.0890322312557,915.6536038595599,1356.5691909021814,0.0,1554.8461331067456,1278.6993722912352,1517.649603861181,1684.4468556368881,282.3909348633562,1308.2743780537785,971.239872971142,1590.6006412185934,1483.413290922324,1276.5280002432378,1319.2197128454384,766.6700567943162,981.7389251654433,691.3726088311572
LV,1318.9554943469475,1581.598137998714,1578.1638565424694,1652.9766074512365,2546.173863105189,1073.9911908651766,1225.0666327547247,1059.0759148436905,226.36694658231383,1960.2525468717038,2831.563546305292,879.8768564321936,1985.8113533127964,1611.4278720007915,1173.424559024141,2229.421607219684,1837.9724247866181,217.265494568282,1554.8461331067456,0.0,1645.4280344047258,1734.1492242955912,2498.309574941424,1428.0219010435376,1112.1765687717934,685.3096693116189,3144.496013775499,1229.9465029447417,1456.3317835253063,824.1870803798128,1429.3473433060283,1012.0521010639725,1854.6943235339347
